City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Saldanha,ZA,2022-09-10 23:12:38,-33.0117,17.9442,55.99,88,27,6.55
105,Kutum,SD,2022-09-10 23:12:38,14.2,24.6667,78.85,35,37,8.52
106,Tabuk,PH,2022-09-10 23:12:39,17.4189,121.4443,75.43,89,84,3.09
107,Muros,ES,2022-09-10 23:12:39,42.7762,-9.0603,63.09,92,7,5.5
108,Puerto Escondido,MX,2022-09-10 23:12:39,15.85,-97.0667,99.43,36,75,4.61
109,Mokhsogollokh,RU,2022-09-10 23:12:40,61.4681,128.9203,40.57,81,60,8.23
110,Westport,US,2022-09-10 23:12:40,41.1415,-73.3579,78.21,61,24,3.0
111,Lahad Datu,MY,2022-09-10 23:12:41,5.0268,118.327,75.54,93,97,3.09
112,Ambovombe,MG,2022-09-10 23:12:41,-25.1667,46.0833,67.42,75,0,4.9
113,Verkhnyaya Inta,RU,2022-09-10 23:12:41,65.9811,60.3094,39.81,93,99,11.59
114,Srednekolymsk,RU,2022-09-10 23:12:42,67.45,153.6833,42.8,94,100,4.68
115,Yairipok,IN,2022-09-10 23:12:42,24.6667,94.0667,66.74,98,90,0.56
116,Klaksvik,FO,2022-09-10 23:12:43,62.2266,-6.589,52.72,90,61,19.19
117,Butaritari,KI,2022-09-10 23:12:43,3.0707,172.7902,81.18,73,3,11.3
118,Luau,AO,2022-09-10 23:12:43,-10.7073,22.2247,69.53,28,4,4.88
119,Bengkulu,ID,2022-09-10 23:12:44,-3.8004,102.2655,73.62,84,66,3.6
120,Camacupa,AO,2022-09-10 23:12:44,-12.0167,17.4833,65.62,27,12,3.53
121,Dosso,NE,2022-09-10 23:12:44,13.049,3.1937,78.66,74,94,7.38
122,Lagoa,PT,2022-09-10 23:12:45,39.05,-27.9833,71.78,75,100,29.57
123,Harindanga,IN,2022-09-10 23:12:45,22.0383,88.3214,79.25,90,100,12.17
124,Usogorsk,RU,2022-09-10 23:12:46,63.4106,48.6872,44.47,97,100,3.8
125,Soure,BR,2022-09-10 23:11:43,-0.7167,-48.5233,80.06,80,63,12.08
126,Pisco,PE,2022-09-10 23:12:46,-13.7,-76.2167,63.01,72,0,17.27
127,Ciudad Bolivar,VE,2022-09-10 23:12:47,8.1222,-63.5497,83.41,62,58,8.19
128,Tuktoyaktuk,CA,2022-09-10 23:12:47,69.4541,-133.0374,41.0,81,100,9.22
129,Olinda,BR,2022-09-10 23:12:48,-8.0089,-34.8553,73.13,83,75,11.5
130,Karratha,AU,2022-09-10 23:12:48,-20.7377,116.8463,70.23,45,0,9.13
131,Mezen,RU,2022-09-10 23:12:49,65.8522,44.24,41.36,97,48,5.68
132,Mehtar Lam,AF,2022-09-10 23:12:49,34.6714,70.2094,80.65,66,0,0.87
133,Abu Samrah,SY,2022-09-10 23:12:50,35.3029,37.1841,76.86,36,0,6.31
134,Yellowknife,CA,2022-09-10 23:08:15,62.456,-114.3525,54.41,65,40,22.17
135,Port Blair,IN,2022-09-10 23:10:38,11.6667,92.75,80.47,82,64,12.48
136,Hobart,AU,2022-09-10 23:12:50,-42.8794,147.3294,51.66,78,75,8.05
137,Teknaf,BD,2022-09-10 23:12:51,20.8624,92.3058,76.12,95,100,7.05
138,Rabo De Peixe,PT,2022-09-10 23:12:51,37.8,-25.5833,71.11,87,40,13.8
139,Pevek,RU,2022-09-10 23:12:52,69.7008,170.3133,40.98,82,84,3.91
140,Ozinki,RU,2022-09-10 23:12:52,51.1786,49.6769,48.13,75,64,9.57
141,New Norfolk,AU,2022-09-10 23:13:53,-42.7826,147.0587,51.3,77,99,5.99
142,Juneau,US,2022-09-10 23:13:53,58.3019,-134.4197,56.21,81,75,6.91
143,Acajutla,SV,2022-09-10 23:13:53,13.5928,-89.8275,80.71,85,65,6.62
144,Fortuna,US,2022-09-10 23:13:54,40.5982,-124.1573,80.92,54,85,3.0
145,Yaan,NG,2022-09-10 23:13:54,7.3833,8.5667,71.04,97,99,4.43
146,Masaki,JP,2022-09-10 23:13:55,33.7876,132.7112,78.49,100,75,2.3
147,Yanam,IN,2022-09-10 23:13:55,16.7333,82.2167,75.25,96,100,5.37
148,Meadow Lake,US,2022-09-10 23:13:56,34.8014,-106.5436,88.29,28,99,6.13
149,Erzin,TR,2022-09-10 23:13:57,36.9559,36.2,73.54,69,0,2.15
150,Pochutla,MX,2022-09-10 23:13:57,15.7432,-96.4661,82.81,66,85,6.93
