,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Goderich,CA,43.7501,-81.7165,57.9,87,100,4.61,light rain
143,Vanavara,RU,60.34,102.2797,30.04,94,52,2.01,broken clouds
144,Kapaa,US,22.0752,-159.319,86.11,66,0,10.36,clear sky
145,Kaitangata,NZ,-46.2817,169.8464,61.0,64,100,2.01,moderate rain
146,Thompson,CA,55.7435,-97.8558,44.76,53,20,3.44,few clouds
147,Vila Velha,BR,-20.3297,-40.2925,73.35,87,75,4.0,broken clouds
148,Bose,IT,45.4612,8.0137,55.29,68,56,5.99,broken clouds
149,Havoysund,NO,70.9963,24.6622,46.63,83,56,16.15,broken clouds
150,Yairipok,IN,24.6667,94.0667,66.45,98,50,1.61,scattered clouds
151,Nouakchott,MR,18.0858,-15.9785,78.73,81,81,12.68,broken clouds
152,Mahebourg,MU,-20.4081,57.7,70.09,68,75,11.5,broken clouds
153,Uddevalla,SE,58.3478,11.9424,52.21,95,100,1.99,light rain
154,Morondava,MG,-20.2833,44.2833,73.58,84,11,5.01,few clouds
155,Concordia,AR,-31.393,-58.0209,62.78,63,0,1.99,clear sky
156,Khandyga,RU,62.6667,135.6,38.66,89,100,2.44,overcast clouds
157,Muroto,JP,33.2833,134.15,77.76,81,34,9.33,scattered clouds
158,Banjar,ID,-8.19,114.9675,79.77,69,92,5.68,overcast clouds
159,Kavieng,PG,-2.5744,150.7967,85.14,65,79,12.8,broken clouds
160,Vardo,NO,70.3705,31.1107,42.78,93,78,4.61,broken clouds
161,Ketchikan,US,55.3422,-131.6461,61.27,88,100,8.05,light rain
162,Saint-Augustin,CA,51.226,-58.6502,55.08,99,100,11.21,overcast clouds
163,Vaitape,PF,-16.5167,-151.75,78.13,73,4,14.34,clear sky
164,Kathu,TH,7.9178,98.3332,86.76,81,98,14.61,overcast clouds
165,Muisne,EC,0.6,-80.0333,73.92,83,99,8.37,overcast clouds
166,Katsuura,JP,35.1333,140.3,75.22,70,1,12.97,clear sky
167,Da Nang,VN,16.0678,108.2208,80.58,74,75,3.44,heavy intensity rain
168,Honiara,SB,-9.4333,159.95,85.57,68,24,3.31,moderate rain
169,Saint George,US,37.1041,-113.5841,95.59,14,0,5.75,clear sky
170,Pingshan,CN,22.9938,114.7131,81.32,74,54,3.71,broken clouds
171,Esperance,AU,-33.8667,121.9,55.29,75,0,7.36,clear sky
172,Shingu,JP,33.7333,135.9833,76.95,85,39,6.71,scattered clouds
173,Srandakan,ID,-7.9386,110.2506,77.52,76,90,3.96,overcast clouds
174,Coari,BR,-4.085,-63.1414,87.04,38,59,0.96,broken clouds
175,Isangel,VU,-19.55,169.2667,84.31,79,75,4.61,broken clouds
176,Pevek,RU,69.7008,170.3133,30.81,70,47,2.55,scattered clouds
177,Saldanha,ZA,-33.0117,17.9442,48.25,85,5,6.08,clear sky
178,Terrace,CA,54.5163,-128.6035,62.51,94,100,2.3,overcast clouds
179,Sterling,US,39.0062,-77.4286,68.79,67,40,3.44,scattered clouds
180,Tamandare,BR,-8.7597,-35.1047,74.14,77,39,9.33,scattered clouds
181,Mombetsu,JP,44.3525,143.3525,69.82,68,20,10.36,few clouds
182,Babushkin,RU,51.7122,105.8647,40.03,93,100,6.02,overcast clouds
183,Timra,SE,62.487,17.3257,53.67,87,100,16.11,overcast clouds
184,Whitehorse,CA,60.7161,-135.0538,61.57,63,75,18.41,broken clouds
185,Lebu,CL,-37.6167,-73.65,51.89,93,99,3.83,overcast clouds
186,Kieta,PG,-6.2167,155.6333,84.9,68,95,4.92,overcast clouds
187,College,US,64.8569,-147.8028,47.59,71,100,4.61,light rain
188,Clyde River,CA,70.4692,-68.5914,34.03,93,100,3.44,overcast clouds
189,Laguna,US,38.421,-121.4238,97.09,34,0,6.91,clear sky
190,Chokurdakh,RU,70.6333,147.9167,29.05,77,80,15.26,broken clouds
191,Corvallis,US,44.5646,-123.262,89.1,43,0,9.22,clear sky
192,Green River,US,41.5286,-109.4662,79.2,21,0,3.0,clear sky
193,Dzidzantun,MX,21.25,-89.05,78.93,82,35,5.55,scattered clouds
194,Ulladulla,AU,-35.35,150.4667,58.48,91,100,4.21,overcast clouds
195,Salalah,OM,17.0151,54.0924,78.89,94,75,5.75,broken clouds
196,Alpinopolis,BR,-20.8636,-46.3881,71.02,73,94,2.3,overcast clouds
197,Sangar,RU,63.9242,127.4739,34.29,87,100,5.35,overcast clouds
198,Korla,CN,41.7597,86.1469,65.28,26,0,4.63,clear sky
199,Kalmunai,LK,7.4167,81.8167,77.58,83,53,3.91,broken clouds
200,Victoria,HK,22.2855,114.1577,85.32,72,60,11.99,broken clouds
201,Natal,BR,-5.795,-35.2094,80.82,74,0,12.66,clear sky
202,Port Hardy,CA,50.6996,-127.4199,66.38,72,40,6.91,scattered clouds
203,Hofn,IS,64.2539,-15.2082,40.35,54,97,23.82,overcast clouds
204,Severnyy,RU,50.677,36.5532,53.64,87,0,4.47,clear sky
205,Mount Isa,AU,-20.7333,139.5,83.97,21,1,14.97,clear sky
206,Matamoros,MX,25.5333,-103.25,84.31,42,75,16.11,broken clouds
207,Ballina,AU,-28.8667,153.5667,75.78,67,86,3.27,overcast clouds
208,Banda Aceh,ID,5.5577,95.3222,78.84,75,100,13.69,overcast clouds
209,Anan,JP,33.9167,134.65,76.78,77,41,5.91,scattered clouds
210,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,88,100,12.66,overcast clouds
211,Husavik,IS,66.0449,-17.3389,38.71,56,48,17.98,scattered clouds
212,Sheboygan,US,43.7333,-87.9334,54.48,79,75,9.22,broken clouds
213,Bom Jesus Da Lapa,BR,-13.255,-43.4181,82.51,35,26,9.48,scattered clouds
214,Manadhoo,MV,5.7667,73.3833,81.72,77,26,16.37,scattered clouds
215,Souillac,MU,-20.5167,57.5167,70.18,68,75,11.5,broken clouds
216,Anaconda,US,46.1285,-112.9423,76.19,28,2,2.15,clear sky
217,Aitape,PG,-3.1374,142.3475,84.88,67,97,5.37,overcast clouds
